fn_num,fn_type,status,fn_text,matched_ref
85,,,"피에르 부르디외, 『구별짓기: 문화적 취향의 사회학 上』, 최종철 옮김 (서울: 새물결, 2005). 부르디외에게 상징 자본은 경제, 문화, 사회 자본 등이 사회적으로 정당성을 인정받아 명예, 위신, 권위의 형태로 전환된 자본을 의미한다.",
86,,,"성연주, 「청년예술이 상징자본이 될 수 있는가?: 〈서울청년예술단〉 사업에 관한 사례연구」, 『문화와 사회』 31, no. 2 (2023): 18–21. 해당 논문은 청년 예술 공공 사업의 실패 원인의 핵심이 정책이 청년예술인을 자율적인 창작 주체가 아닌 복지가 필요한 '시혜적 대상'으로 규정했기 때문이라 진단한다.",
87,,,아이폰 4의 카메라는 작은 센서 크기로 인해 모든 원근이 거의 동시에 초점이 맞게 된다. 아이폰의 아웃포커싱 기능은 소프트웨어로 후처리한 이미지이다.,
88,,,DSLR(Digital Single-Lens Reflex Camera) 이미지 센서 풀프레임(Full Frame/FF) 또한 영화용 35mm 필름과 같은 사이즈를 사용한다.,
89,,,"필름 혹은 이미지 센서의 크기가 작을수록 화각이 좁아지고, 표준 필름과 같은 사이즈의 화각을 촬영하려면 초점거리가 짧은 렌즈를 사용해야만 가능. 필연적으로 심도가 깊어진다.",
90,,,"Deleuze, Cinema 2, 들뢰즈의 시간-이미지 및 크리스탈이미지는 이미지의 우연적 연접과 모든 요소의 전경화(평면성)를 존재론적 조건으로 한다.",
91,,,"박선, 『카메라 소메티카』. 뉴미디어 시대의 수용자가 스크린 세계를 물리적 현실의 일부로 수용하고 신체와 감각을 동원하여 이미지를 체험하는 현상을 카메라 소메티카로 설명",
92,,,"이종철, 「아이폰 13 프로로 찍다, 박찬욱 감독 '일장춘몽' 제작 비하인드」, 『바이라인 네트워크』, 2022년 2월 18일. 박찬욱 감독은 이후 아이폰 13 프로로 촬영한 단편 <일장춘몽>(2022)에서도 이러한 근접성의 효과를 적극적으로 활용했다. 배우 박정민은 작은 기기가 만들어내는 독특한 촬영 환경과 그것이 배우의 연기에 미치는 직접적인 영향을 증언했다.",
93,,,"(PARKing CHANce, 2011), [19:09], [18:46] 캡처.",
94,,,"발터 벤야민, 「기술복제시대의 예술작품」; 들뢰즈, 『시네마 2』 참조. '정동적 충격(Affective Shock)'은 벤야민이 영화 매체의 현대적 경험으로 분석한 '충격(Shock)' 개념과, 들뢰즈가 신체에 직접적으로 가해지는 강도로 정의한 '정동(Affect)' 개념을 종합하여 구성한 것으로, 이미지의 물질성이 관객의 신체에 직접적으로 가하는 감각적 충격을 지칭한다.",
95,,,"(PARKing CHANce, 2011), [09:51], [10:47] 캡처.",
96,,,"자크 데리다, 『마르크스의 유령들』, 진태원 옮김 (서울: 이제이북스, 2012). 데리다에게 유령(specter)은 과거로부터 출몰하며 현재의 질서를 교란하는 역설적 존재이다. 〈파란만장〉의 흑백 이미지가 자아내는 미학적 분위기는 물론, 디지털 시대에 출몰하는 과거 시네마(필름)의 흔적을 분석하는 비평적 개념으로 사용한다.",
97,,,"(PARKing CHANce, 2011), [07:10] , [09:19] 캡쳐",
